pref,region_code,region_name,indicator,domain,n_total,n_risk,risk_rate,n_male,n_risk_male,risk_rate_male,n_female,n_risk_female,risk_rate_female,z_score,deviation_value
北海道,120,釧路,HbA1c,糖尿病,30824,3024,0.098105372437062,16599,2072,0.1248267967949876,14225,952,0.0669244288224956,1.5229438822698296,65.2294388226983
北海道,121,根室,HbA1c,糖尿病,10192,845,0.0829081632653061,5642,605,0.1072314781992201,4550,240,0.0527472527472527,0.24844103000309847,52.48441030003099
千葉県,1201,千葉,HbA1c,糖尿病,195763,13688,0.0699212823669437,107105,10041,0.093749124690724,88658,3647,0.0411355997202734,-0.8406942552947356,41.593057447052644
千葉県,1202,東葛南部,HbA1c,糖尿病,359421,23993,0.066754585847794,194152,17627,0.0907896905517326,165269,6366,0.038519020505963,-1.1062669469847517,38.93733053015248
千葉県,1203,東葛北部,HbA1c,糖尿病,277372,19917,0.0718060943426156,147867,13984,0.0945714730129102,129505,5933,0.045812902976719,-0.6826258749868015,43.17374125013198
千葉県,1204,印旛,HbA1c,糖尿病,133297,9870,0.0740451773108172,70347,7139,0.1014826502907018,62950,2731,0.0433836378077839,-0.494846816530566,45.05153183469434
千葉県,1205,香取海匝,HbA1c,糖尿病,49177,4296,0.0873579112186591,25142,2883,0.1146686818868825,24035,1413,0.0587892656542542,0.6216158935139882,56.21615893513988
千葉県,1206,山武長生夷隅,HbA1c,糖尿病,84561,7944,0.0939440167453081,44784,5467,0.1220748481600571,39777,2477,0.0622721673328808,1.1739548252333822,61.73954825233382
千葉県,1207,安房,HbA1c,糖尿病,17505,1723,0.09842902027992,8605,1124,0.1306217315514236,8900,599,0.0673033707865168,1.5500863723277485,65.50086372327749
千葉県,1208,君津,HbA1c,糖尿病,66234,5753,0.0868587130476794,36985,4141,0.1119643098553467,29249,1612,0.0551129953160791,0.579751003350971,55.79751003350971
千葉県,1209,市原,HbA1c,糖尿病,50211,4231,0.084264404214216,26539,2945,0.1109687629526357,23672,1286,0.0543257857384251,0.3621811870418712,53.62181187041871
和歌山県,3001,和歌山,HbA1c,糖尿病,57841,5154,0.0891063432513269,29735,3456,0.1162266689086934,28106,1698,0.0604141464455988,0.7682468694678548,57.68246869467855
和歌山県,3002,那賀,HbA1c,糖尿病,16385,1305,0.079646017699115,8236,912,0.1107333657115104,8149,393,0.0482267762915695,-0.025136426333212395,49.74863573666788
和歌山県,3003,橋本,HbA1c,糖尿病,12134,993,0.0818361628481951,6377,673,0.1055355182687784,5757,320,0.0555845058190029,0.15853849765009811,51.58538497650098
和歌山県,3004,有田,HbA1c,糖尿病,9112,771,0.0846136962247585,4636,545,0.1175582398619499,4476,226,0.050491510277033,0.39147430650078946,53.9147430650079
