pref,region_code,region_name,indicator,domain,n_total,n_risk,risk_rate,n_male,n_risk_male,risk_rate_male,n_female,n_risk_female,risk_rate_female
大阪府,2707,泉州,HbA1c,糖尿病,145519,10608,0.07289769720792474,75778,7509,0.09909208477394495,69741,3099,0.044435841183808666
大阪府,2708,大阪市,HbA1c,糖尿病,471778,30869,0.06543119857220982,261922,23094,0.08817128763525019,209856,7775,0.03704921469960354
奈良県,2901,奈良,HbA1c,糖尿病,60916,3918,0.06431807735241972,29660,2752,0.09278489548213081,31256,1166,0.037304837471205526
奈良県,2902,東和,HbA1c,糖尿病,31884,2449,0.07680968510851838,16014,1753,0.10946671662295492,15870,696,0.04385633270321361
奈良県,2903,西和,HbA1c,糖尿病,60752,4098,0.06745456939689229,30128,2825,0.09376659585767393,30624,1273,0.041568704284221526
奈良県,2904,中和,HbA1c,糖尿病,63476,4308,0.06786817064717374,32364,3036,0.09380793474230627,31112,1272,0.04088454615582412
奈良県,2905,南和,HbA1c,糖尿病,9754,808,0.08283781012917778,4926,565,0.1146975233455136,4828,243,0.050331400165700084
宮城県,0401,仙南,HbA1c,糖尿病,31200,3048,0.09769230769230769,16416,1936,0.11793372319688109,14784,1112,0.07521645021645022
宮城県,0403,仙台,HbA1c,糖尿病,291486,24951,0.0855993083715856,153300,17470,0.11395955642530985,138186,7481,0.05413717742752522
宮城県,0406,大崎・栗原,HbA1c,糖尿病,42380,4352,0.10268994808872109,22867,2924,0.1278698561245463,19513,1428,0.07318198124327371
宮城県,0409,石巻・登米・気仙沼,HbA1c,糖尿病,51233,5558,0.10848476567837136,25929,3498,0.13490686104361913,25304,2060,0.08141005374644325
宮崎県,4501,宮崎東諸県,HbA1c,糖尿病,60106,4249,0.07069177785911557,31264,2960,0.09467758444216991,28842,1289,0.04469176894806185
宮崎県,4502,都城北諸県,HbA1c,糖尿病,22705,2518,0.11090068266901563,10684,1417,0.13262822912766753,12021,1101,0.09158971799351136
宮崎県,4503,延岡西臼杵,HbA1c,糖尿病,27642,2100,0.07597134794877361,15418,1487,0.09644571280321702,12224,613,0.05014725130890053
宮崎県,4504,日南串間,HbA1c,糖尿病,7015,553,0.07883107626514611,3382,343,0.10141927853341218,3633,210,0.057803468208092484
宮崎県,4505,西諸,HbA1c,糖尿病,9188,830,0.09033521985198084,4439,513,0.11556656904708268,4749,317,0.06675089492524743
宮崎県,4506,西都児湯,HbA1c,糖尿病,11505,967,0.08405041286397219,5854,639,0.10915613255893407,5651,328,0.05804282427888869
宮崎県,4507,日向入郷,HbA1c,糖尿病,11976,823,0.06872077488309954,6180,563,0.09110032362459547,5796,260,0.04485852311939269
富山県,1601,新川,HbA1c,糖尿病,26341,1923,0.07300406210850005,13685,1372,0.10025575447570333,12656,551,0.043536662452591655
富山県,1602,富山,HbA1c,糖尿病,107461,7764,0.07224946724858321,58062,5678,0.09779201543177982,49399,2086,0.04222757545699306
